date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en
1/1/2022,826.1955648,169.4529722,82.30025151,630.9910025,1007.849146,891.4366306,katilingban
1/1/2022,936.3771165,3004.767981,67.20608047,761.9518018,1072.561561,4272.697579,camalig
1/1/2022,1273.412539,542.2848193,212.3590973,0,574.3779414,2808.323589,guzman-jesena
1/1/2022,492.422668,0,0,16.25283483,135.6222249,337.91643,villa anita
1/1/2022,818.8167761,601.5596158,0,108.2944194,0,1926.480777,abeto mirasol taft south (quirino abeto)
1/1/2022,254.0690662,604.8903484,162.8078191,632.2117183,52.68879522,1171.070345,kauswagan
1/1/2022,270.0670166,939.1795358,0,1202.675612,755.3085039,419.3369898,our lady of fatima
1/1/2022,1352.464642,90.20466241,0,180.1061853,829.0315267,1308.695757,navais
1/1/2022,858.0393802,0,0,1399.635344,475.388782,910.1342111,sinikway (bangkerohan lapuz)
1/1/2022,211.0781987,562.0639824,320.952163,732.0321613,668.6815369,40.01594009,infante
1/1/2022,1022.07332,1644.537032,94.94665565,692.9471171,130.1910897,1325.232071,desamparados
1/1/2022,1007.014086,986.5373083,0,1452.769246,795.6511619,1170.288371,san juan
1/1/2022,585.1159964,15.34368786,28.49299621,1142.321478,332.3187145,910.5572727,alalasan lapuz
1/1/2022,196.1002086,390.726699,0,1045.561443,365.5164911,499.851396,bolilao
1/1/2022,1191.763806,492.5523441,205.1428499,1542.728753,439.9464809,1208.170454,loboc-lapuz
1/1/2022,2489.769188,0,0,1422.932785,487.0503671,2486.115599,so-oc
1/1/2022,549.0128561,1257.993888,190.8953745,1354.125648,1049.280498,550.2480392,marcelo h. del pilar
1/1/2022,572.963448,208.9985085,0,1153.456605,15.07104081,1099.099458,jalandoni estate-lapuz
1/1/2022,0,262.3308001,0,1046.700397,988.9158751,40.57707672,san nicolas
1/1/2022,177.2228722,816.4793883,108.1084208,511.9071147,1063.703937,2072.573809,lopez jaena (jaro)
1/1/2022,670.1250238,1197.490674,232.6131102,862.0946183,1102.779243,1739.069007,simon ledesma
1/1/2022,490.7964024,674.5047374,223.7116138,687.6246052,196.0388837,714.3074257,gloria
1/1/2022,1541.851732,1264.491636,0,1417.220767,802.0933478,2328.391115,obrero-lapuz
1/1/2022,1484.368631,728.6285985,0,978.5443096,0,1571.786375,north fundidor
1/1/2022,116.1630176,33.72599772,5.043604959,1007.027106,826.5229773,162.1950887,railway
1/1/2022,758.8491565,1455.37437,19.64116128,515.9099255,538.0863304,1457.7689,"libertad, santa isabel"
1/1/2022,252.3702554,782.2448101,28.55899797,1298.937376,592.8689284,501.0155097,our lady of lourdes
1/1/2022,1106.23261,1456.962614,3.784707122,370.0121006,668.4168114,2105.407242,santo rosario-duran
1/1/2022,328.5210023,369.9185419,224.9324407,376.0384527,3.418248171,648.5290961,hipodromo
1/1/2022,4271.679324,0,0,3768.676462,159.3043402,4386.037707,santo niño sur
1/1/2022,1454.19791,1591.671244,78.57772942,682.3476641,940.1287259,2371.851073,veterans village
1/1/2022,2281.409121,179.9184536,0,594.0782579,1105.536719,2507.19355,calahunan
1/1/2022,5223.833341,342.5954503,26.16615817,4378.310136,0,5285.441107,santa cruz
1/1/2022,1430.989268,1691.466491,449.9865173,1819.156195,2267.744089,1535.329026,san isidro (la paz)
1/1/2022,449.318491,796.0776927,77.81731563,404.8717068,290.1774037,1466.549341,arsenal aduana
1/1/2022,1679.237814,0,0,0,340.2307745,2319.240489,oñate de leon
1/1/2022,528.7209311,774.0983429,161.4764696,881.586539,510.5496394,368.745705,baybay tanza
1/1/2022,356.8555528,1330.542935,0,784.6406962,1834.403851,2173.425148,quintin salas
1/1/2022,350.9920964,615.9273453,396.7273078,664.0242412,228.9041717,854.8116663,san jose (city proper)
1/1/2022,0,605.9586492,0,63.93856894,759.2602256,2104.939504,dungon a
1/1/2022,1559.757103,3112.488224,0,1811.187027,898.5153372,4948.387299,lanit
1/1/2022,53.36796234,258.3000706,0,1211.360784,1092.092163,0,magdalo
1/1/2022,484.9885595,868.3437197,190.2518045,637.0196028,667.7085026,2913.764437,dungon
1/1/2022,950.5137464,490.3191139,219.32316,1183.495347,249.745583,1562.681178,lapuz norte
1/1/2022,457.2347181,354.4589075,148.9152676,791.2780355,1253.251369,557.9287618,poblacion molo
1/1/2022,1532.592005,4102.029778,0,0,902.5998653,4028.368148,bito-on
1/1/2022,368.0438392,1080.916626,15.71835777,275.2905398,553.5960977,1627.218896,fajardo
1/1/2022,207.2543202,877.7083159,59.47029103,1706.702647,1097.93895,226.1436817,javellana
1/1/2022,573.6824926,909.206213,158.8684357,344.8621814,260.3223763,2419.864291,phhc block 22 nha
1/1/2022,680.6511425,575.7373003,326.2170191,1034.05437,992.0940052,853.7714794,habog-habog salvacion
1/1/2022,51.50746705,380.79482,0,398.8211084,612.6504933,2549.054659,dungon b
1/1/2022,550.9014236,355.2842011,98.19836646,411.4836838,190.1169692,245.3317679,malipayon-delgado
1/1/2022,1309.483124,441.928912,110.9141906,506.0500446,509.6647627,1357.412294,south san jose
1/1/2022,2853.976469,630.9254337,0,2576.452849,0,2983.411431,calaparan
1/1/2022,708.1824759,1065.429711,0,186.6692017,161.1134982,1468.564479,maria clara
1/1/2022,758.3317855,1412.541289,265.0360448,719.2563842,819.7733737,1472.232142,democracia
1/1/2022,105.9092904,2463.082677,0,0,1612.369528,3231.953938,buhang
1/1/2022,215.6933981,305.1063898,140.2037435,830.7583555,0,722.7847164,lapuz sur
1/1/2022,341.3543074,146.856704,51.95692993,869.0085181,418.8215939,452.1799283,rizal (la paz)
1/1/2022,370.5113032,644.2985982,288.1393986,799.9657503,593.2277212,167.4090785,timawa tanza i
1/1/2022,0,63.38726497,0,186.9662251,334.4308163,446.1191474,sampaguita
1/1/2022,1097.978832,1453.130259,82.6859579,97.54925947,596.1770964,2014.705288,general hughes-montes
1/1/2022,477.018352,100.5507761,0,1177.364353,551.8401286,430.2749034,divinagracia
1/1/2022,0,0,0,439.7941787,150.6201924,2225.687162,san isidro (jaro)
1/1/2022,4611.765054,599.2563543,0,3762.557524,432.8142672,4670.265508,santo domingo
1/1/2022,626.7973794,1120.386374,0,796.6112621,61.39294624,994.8045442,bakhaw
1/1/2022,594.3660423,1124.883113,0,918.1068712,417.9844344,850.3519559,san vicente
1/1/2022,1216.447792,838.4613841,69.47270763,1273.521071,298.894629,1359.950373,compania
1/1/2022,1412.532547,168.5449065,5.995174718,91.90744652,178.8522278,1339.260964,airport (tabucan airport)
1/1/2022,0,52.49833391,0,767.4604724,1038.764328,166.5028932,magsaysay village
1/1/2022,429.0553245,262.1820061,16.28733653,1020.423723,84.03243727,1008.615737,punong-lapuz
1/1/2022,106.8715429,212.8508691,56.08393994,481.2272152,609.2510824,100.131811,luna (la paz)
1/1/2022,407.1237065,18.80023308,24.72260277,0,517.1348497,41.62656625,inday
1/1/2022,1921.625526,1192.952346,714.9078935,1681.233156,1510.830767,1762.489366,ingore
1/1/2022,1760.804243,1357.965706,0,887.4570438,1060.483461,3883.077566,hibao-an sur
1/1/2022,956.2487921,1194.350134,0,310.2105981,515.817891,1942.776786,zamora-melliza
1/1/2022,557.2714667,152.6017742,114.6795246,1084.359548,343.2887965,655.2730494,aguinaldo
1/1/2022,19.18257382,644.9803992,25.66478098,819.9695502,756.83658,76.53352901,west timawa
1/1/2022,362.7383815,60.46618178,55.65525423,1145.352564,551.8401286,430.2777348,macarthur
1/1/2022,1399.680792,970.3048443,387.5891288,2173.3779,266.4358561,4111.355154,ungka
1/1/2022,563.8509115,916.2333133,239.7811116,267.3025289,416.4599816,2723.592284,phhc block 17
1/1/2022,0,259.6160845,0,370.1312324,118.9536537,438.6535905,danao
1/1/2022,593.1878037,399.5016686,0,483.1789483,194.5054507,287.9030159,tanza-esperanza
1/1/2022,457.2347181,514.8957521,167.4928563,944.8534376,1325.571021,561.1510153,kasingkasing
1/1/2022,508.8186113,838.8772783,80.40047912,364.3202125,0,1226.090205,nonoy
1/1/2022,350.515709,2014.518256,0,0,1705.601039,1699.511637,balabago
1/1/2022,0,557.9013267,0,736.624405,723.6658152,0,east timawa
1/1/2022,0,1690.535234,0,590.3294211,2064.850282,2936.72292,m. v. hechanova
1/1/2022,1512.44138,1144.625791,17.26453299,1495.621168,755.9188489,2217.317625,mansaya-lapuz
1/1/2022,48.77048864,452.3263865,0,664.9145236,741.6574818,0,taal
1/1/2022,732.5715346,897.3649634,273.1956686,923.0464434,393.6167537,809.1151701,rizal palapala i
1/1/2022,481.0967807,1106.981875,311.1460034,631.1267406,931.2937821,1767.889612,maria cristina
1/1/2022,1799.433798,2542.262803,177.8536148,814.3381601,2319.522341,2353.348536,hinactacan
1/1/2022,864.6171266,1529.755984,86.43114764,773.1495222,675.5708752,954.3054131,benedicto (jaro)
1/1/2022,2837.098479,217.5804495,156.8698425,2132.80967,245.6597346,2934.543822,dulonan
1/1/2022,0,528.6020783,0,1315.22479,950.5065826,325.7727534,montinola
1/1/2022,1029.469293,95.54642683,96.29381348,342.3589795,910.431764,1049.311954,north san jose
1/1/2022,156.6831937,332.3379604,263.5928716,375.3587397,173.5691259,818.0083321,liberation
1/1/2022,293.2360543,342.1582958,66.39345837,1638.064163,1243.552705,221.7655044,gustilo
1/1/2022,153.1865379,0,0,0,137.2467364,495.2807088,san agustin
1/1/2022,346.4049969,750.4234006,0,826.8584155,1031.982465,1065.49519,tabuc suba (jaro)
1/1/2022,255.2589841,893.1759675,211.8325509,155.2689154,412.2472012,1967.200026,santa rosa
1/1/2022,3088.474248,0,0,2223.604577,73.31849063,3134.771064,san jose (arevalo)
1/1/2022,648.5436753,114.7198595,3.072658686,1507.12007,718.4283901,480.0620246,lopez jaena sur
1/1/2022,699.8179763,1007.973382,425.1068421,633.3600615,290.664761,1212.510178,rima-rizal
1/1/2022,814.139256,205.5256836,208.1417091,1416.696373,266.6499972,1046.664262,don esteban-lapuz
1/1/2022,612.1675558,931.8551942,498.6960591,1371.426305,1284.15135,801.7068356,west habog-habog
1/1/2022,828.585805,1053.264805,97.07467623,350.2720052,389.5699517,1747.389313,muelle loney-montes
1/1/2022,262.0086622,602.5048642,331.3437559,663.7842206,223.0930895,1008.81644,roxas village
1/1/2022,999.4600486,1586.314768,44.95485505,722.1168361,335.3011164,1238.599607,seminario (burgos jalandoni)
1/1/2022,2799.617426,5175.3255,273.7053047,701.4473923,0,5685.02429,buntatala
1/1/2022,1545.320922,1927.066568,0,745.7820543,2729.938223,1655.420658,banuyao
1/1/2022,822.3412377,721.2583748,425.2013009,942.7529634,103.4035994,1636.663453,legaspi dela rama
1/1/2022,324.3346396,619.8990577,8.513938222,740.4311833,287.0561081,1292.543357,yulo-arroyo
1/1/2022,822.8744273,1667.705202,179.6803928,468.8072069,27.71130009,1489.000414,calubihan
1/1/2022,939.4487919,146.2159122,0,603.1812773,629.5503116,988.8548371,north avanceña
1/1/2022,498.3541388,1033.700075,458.1309704,1441.252054,1216.546628,702.0740083,south baluarte
1/1/2022,275.9486206,640.3837883,43.12966271,497.2345238,22.59993245,1327.968332,magsaysay
1/1/2022,26.34494523,468.4573531,25.95331788,577.5523644,0,497.0972074,president roxas
1/1/2022,976.8711846,494.1703891,261.2529999,1901.825391,1034.761452,829.7949728,baldoza
1/1/2022,1530.310101,1133.462277,0,1598.552599,337.6523856,1672.180639,calumpang
1/1/2022,207.6986853,872.3377423,153.1608125,384.9287881,737.0672387,1484.340545,arguelles
1/1/2021,1913.643415,4255.343857,0,718.8051076,0,5095.125538,tagbac
1/1/2021,11.83687186,332.4723928,0,836.3981758,309.5026931,988.5010362,edganzon
1/1/2021,554.8972368,553.3267518,238.7901259,1168.852374,0,1370.429642,libertad-lapuz
1/1/2021,3556.483623,0,0,2919.760463,161.7150316,3649.533467,quezon
1/1/2021,190.5389452,8.629549708,0,1868.052754,640.2786215,348.0989287,laguda
1/1/2021,524.1281337,529.5644904,0,329.5769598,421.3239723,265.1577736,san rafael
1/1/2021,469.3661232,913.7708588,421.040437,1542.734366,1353.212082,452.7903981,north baluarte
1/1/2021,249.8244549,554.3234824,212.8214478,600.8019163,79.37366788,1151.978301,progreso-lapuz
1/1/2021,790.1732422,117.2621569,0,0,1256.019169,647.9328501,tabucan
1/1/2021,717.5101315,1087.239888,311.1554497,1524.303842,1390.822589,887.4526154,molo boulevard
1/1/2021,231.8280212,826.2765079,187.9578562,1230.890529,1497.619691,424.7549691,east baluarte
1/1/2021,787.7554713,424.273085,0,861.0419191,529.7509366,899.2861729,san antonio
1/1/2021,5520.084846,1230.878305,455.4774855,4581.195377,543.4522027,5562.226398,mohon
1/1/2021,1041.268608,1027.610595,294.2098471,897.2856333,451.4275217,1944.744882,monica blumentritt
1/1/2021,195.1750031,974.0931084,0,0,111.1858056,1455.271979,cuartero
1/1/2021,2675.599162,1871.093377,245.104988,2058.115951,1884.650383,5152.10475,hibao-an norte
1/1/2021,0,0,0,2117.441074,984.2863481,0,bantud
1/1/2021,166.7174689,829.8817377,194.462327,1326.374729,1590.06726,277.6230241,cochero
1/1/2021,626.0201765,957.1206438,234.0558038,469.3417567,128.7195326,1278.870348,rizal ibarra
1/1/2021,645.1336857,753.6016621,110.0565355,2348.579607,1525.197477,605.9485792,caingin
