adm4_pcode,NDVI Risk,Amenity Risk (Relative),RWI Risk,Coastal Distance Risk,Population Risk,Climate Vulnerability Index,Risk Label,Barangay Name
ph063022121,0.3061141786130346,0.3199568372862592,0.4789784505959857,1.0,0.5907391665978922,0.435690951009156,Medium Risk,Obrero-Lapuz
ph063022026,1.0,0.4206678617746058,0.3101014646909388,0.9015731757021112,0.2844919215477231,0.4341617893693998,Medium Risk,Buntatala
ph063022019,0.6033825540752649,0.2797558270979523,0.3364855625420891,1.0,0.5775664936526166,0.4336009641833143,Medium Risk,Bito-on
ph063022014,0.2075122840788146,0.4444673970869147,0.9154405259509284,0.7901196117924845,0.2198687816924573,0.4315528993898299,Medium Risk,Sinikway (Bangkerohan Lapuz)
ph063022160,0.5171787143508338,0.1211425948991685,0.8279380875609846,0.7698206048952896,0.4592123647720431,0.4315448306441609,Medium Risk,San Rafael
ph063022003,0.2075122840788146,0.5241323022251387,0.9486463713495116,0.7245767955301077,0.1184367497289547,0.4289032100214427,Medium Risk,Aguinaldo
ph063022041,0.2075122840788146,0.3135477378647928,0.5412781593038912,0.6758596176695505,0.6407384986573115,0.427705556235174,Medium Risk,Cubay
ph063022071,0.4051973051010534,0.4018632721606663,0.8091891169293784,0.9379255635632664,0.1760401894798708,0.4254497632988891,Medium Risk,Infante
ph063022105,0.3061141786130346,0.5068441710058549,0.5388822660079626,1.0,0.3044926159374698,0.4248046799327871,Medium Risk,Mansaya-Lapuz
ph063022156,0.0,0.2113390398832183,0.5978307614048538,1.0,0.7001796764738658,0.4227675363127898,Medium Risk,San Juan
ph063022171,0.413789828276173,0.3059695291411548,0.231219141048399,0.7862083746457869,0.723915029672532,0.4222618072740352,Medium Risk,So-oc
ph063022004,0.8265032166556875,0.0963994527517009,0.6360834005383671,0.67936899222486,0.4483702934697233,0.4220212788430071,Medium Risk,Airport (Tabucan Airport)
ph063022017,0.4051973051010534,0.0764474229993523,0.8739308008936902,1.0,0.4173707729988941,0.4214476845869144,Medium Risk,Baybay Tanza
ph063022095,0.2075122840788146,0.4445550522884177,0.8224585674884339,0.7111845492805973,0.2530426615372653,0.4203111595041235,Medium Risk,Lopez Jaena Norte
ph063022011,0.6033825540752649,0.3372849041416735,0.4618464635124939,0.893065680241318,0.3854699674619434,0.4201448935115505,Medium Risk,Balantang
ph063022021,0.2075122840788146,0.2539680609800305,0.8398431082514451,0.6485474755323446,0.4307159420949238,0.4172042447810168,Medium Risk,Bolilao
ph063022168,0.1875284939972627,0.4402504930106897,0.5128772303929576,1.0,0.4092354367118306,0.4164600577810235,Medium Risk,Santo Niño Sur
ph063022185,0.4051973051010534,0.4426109768385991,0.8719161099925873,0.927527601135323,0.0313837929866324,0.4135571757739121,Medium Risk,Timawa Tanza I
ph063022124,0.2075122840788146,0.1640073126953838,0.7458342375056851,0.5903113623894392,0.5778660922302421,0.4116289888821418,Medium Risk,Our Lady Of Lourdes
ph063022192,0.202092092599158,0.4545463016813468,0.8602152470365441,0.8925369959232866,0.125544662529527,0.4108185096874596,Medium Risk,West Timawa
ph063022090,0.4051973051010534,0.4349331114337607,0.8354076323170774,0.9387475694995042,0.0478084228902746,0.4103912554405555,Medium Risk,Liberation
ph063022177,0.7691986221569201,0.3445121867102523,0.2563916858132906,0.4943123726700239,0.494774540218548,0.4092385765094757,Medium Risk,Tacas
ph063022178,0.8265032166556875,0.0977890372319382,0.7366062861811451,0.4874256342569923,0.3551139884454485,0.409129199682223,Medium Risk,Abeto Mirasol Taft South (Quirino Abeto)
ph063022137,0.4051973051010534,0.1595229285027044,0.8600974634956909,1.0,0.2778134553397859,0.4080763215460633,Medium Risk,Rizal Estanzuela
ph063022086,1.0,0.51560109259177,0.0014066372473687,0.5752231968049185,0.3677963603623357,0.4071876002343601,Medium Risk,Lanit
ph063022151,0.5171787143508338,0.2395711184806326,0.4048408117409753,0.395402994428313,0.6249050213356757,0.40618359477683,Medium Risk,San Isidro (Jaro)
ph063022194,0.0,0.3728965612502556,0.5892295360039831,0.978413617160532,0.4485983847296196,0.402393279285244,Medium Risk,Yulo Drive
ph063022046,0.2075122840788146,0.4069122705691771,0.9486463713495116,0.7223319429800384,0.1005362350230035,0.4017668581215567,Medium Risk,Divinagracia
ph063022096,0.2075122840788146,0.1682573526800496,0.9366930369322172,0.7633563167896459,0.3289027004717186,0.3999673861613605,Medium Risk,Lopez Jaena Sur
ph063022022,0.4051973051010534,0.1545838878240058,0.8660067867441392,0.9805621876850504,0.2315165183780106,0.3977436338894883,Medium Risk,Bonifacio Tanza
ph063022073,0.3061141786130346,0.1133074253494209,0.957720262975464,0.8164487518630433,0.2883957329911753,0.3965260913505188,Medium Risk,Jalandoni Estate-Lapuz
ph063022188,0.4051973051010534,0.2110208952697173,0.5285974708467092,1.0,0.4149151677786659,0.3960712584898946,Medium Risk,Veterans Village
ph063022102,0.4051973051010534,0.3965788829979659,0.7766645998168132,0.9636999820711538,0.0523098573517785,0.3960568623992402,Medium Risk,Magsaysay
ph063022087,0.3061141786130346,0.2572486014133489,0.609583248497672,1.0,0.3543096165392936,0.3954541135081071,Medium Risk,Lapuz Norte
ph063022201,0.2075122840788146,0.2246722367593089,0.6844172654679764,0.7177806593103817,0.4363414447453789,0.3926179632383451,Medium Risk,Tabuc Suba (La Paz)
ph063022072,0.6488906337064945,0.430621324924249,0.068096350877224,1.0,0.4002524092391005,0.3925228029141892,Medium Risk,Ingore
ph063022069,0.4051973051010534,0.2992332408929318,0.8422347442954847,0.9503774433281548,0.0815448005288881,0.391604117348306,Medium Risk,Hipodromo
ph063022009,0.2075122840788146,0.1456506997146311,0.8061953891369302,0.5386059983581222,0.4619002101409097,0.3912333944112457,Medium Risk,Bakhaw
ph063022038,0.4051973051010534,0.1984893111337859,0.5285974708467092,1.0,0.4007626737439061,0.3907344428557564,Medium Risk,Concepcion-Montes
ph063022030,0.8265032166556875,0.2556489311137782,0.5296938561557895,0.5228166307014432,0.2378437445460989,0.3879798149971403,Medium Risk,Calahunan
ph063022100,0.2075122840788146,0.4020418739848182,0.8989882025896869,0.6932548169385006,0.0760834291373265,0.3869996360114989,Medium Risk,Macarthur
ph063022051,0.8265032166556875,0.1703574303030467,0.5647076439383629,0.2717523282740531,0.3527026543086199,0.3865921498335146,Medium Risk,Dungon B
ph063022018,0.2075122840788146,0.2659737478955989,0.7480868653431961,0.4455872669958985,0.3718306177488807,0.3839168704318622,Medium Risk,Benedicto (Jaro)
ph063022098,0.6033825540752649,0.3676624059062938,0.3601580699258806,0.7085879101133041,0.296012775453456,0.3838518079183843,Medium Risk,M. V. Hechanova
ph063022012,0.2075122840788146,0.2863084489144878,0.538079984919509,0.867926146351363,0.403025380042861,0.3838386749986562,Medium Risk,Baldoza
ph063022005,0.2075122840788146,0.1563010216368598,0.9154405259509284,0.7745083544836753,0.2710985277213752,0.383385010640162,Medium Risk,Alalasan Lapuz
ph063022001,0.1875284939972627,0.4075634253113686,0.6518053796889857,0.9252681799231878,0.1891981826805683,0.3830178248254704,Medium Risk,Santa Cruz
ph063022139,0.2075122840788146,0.398468444935904,0.9130495007888288,0.6754672080133818,0.0425580652003906,0.3807996916979442,Medium Risk,Railway
ph063022024,0.6033825540752649,0.3081731878863772,0.3337360085946396,0.8242149505266864,0.3228903749591452,0.3791475270365217,Medium Risk,Buhang
ph063022055,0.4051973051010534,0.0934480600418647,0.8847882884247418,0.9489984910712514,0.1896139867508105,0.3783750024290205,Medium Risk,Tanza-Esperanza
ph063022029,0.2075122840788146,0.3216119640074898,0.7811423571895857,0.7332440106939926,0.1883366415280718,0.3776868793719418,Medium Risk,Caingin
ph063022067,0.8265032166556875,0.3323473837003554,0.435397646497249,0.2360544927573403,0.2475259085823055,0.3767733999757108,Medium Risk,Hibao-an Sur
ph063022033,1.0,0.4954586316141739,0.1468161750284798,0.6973946545342242,0.0949837406117931,0.3765165876423644,Medium Risk,Camalig
ph063022078,0.2075122840788146,0.6326895644388651,0.6711963704494244,0.4343562208185679,0.0237812929895229,0.3755550422457116,Medium Risk,Calubihan
